Instance,UB,ObjValue,ExecutionTime,GAP,Group
VFR40_10_10_Gap,2478,2903,1.680881977,17.15092817,Small
VFR40_10_1_Gap,2480,2864,1.688696146,15.48387097,Small
VFR40_10_2_Gap,2444,2806,1.639325142,14.81178396,Small
VFR40_10_3_Gap,2412,2810,1.61090827,16.50082919,Small
VFR40_10_4_Gap,2472,2922,1.731849909,18.2038835,Small
VFR40_10_5_Gap,2425,2847,1.643318176,17.40206186,Small
VFR40_10_6_Gap,2547,2947,1.549122095,15.70475069,Small
VFR40_10_7_Gap,2501,2952,1.562453032,18.03278689,Small
VFR40_10_8_Gap,2491,2884,1.625586987,15.77679647,Small
VFR40_10_9_Gap,2411,2860,1.707318783,18.62297802,Small
VFR40_15_10_Gap,2945,3452,1.126522064,17.21561969,Small
VFR40_15_1_Gap,3011,3535,1.169831038,17.40285619,Small
VFR40_15_2_Gap,2821,3402,1.139379978,20.5955335,Small
VFR40_15_3_Gap,2906,3450,1.137150288,18.71988988,Small
VFR40_15_4_Gap,2919,3439,1.2622931,17.81431997,Small
VFR40_15_5_Gap,2945,3420,1.261658907,16.12903226,Small
VFR40_15_6_Gap,2805,3298,1.233238697,17.57575758,Small
VFR40_15_7_Gap,2868,3398,1.263689041,18.47977685,Small
VFR40_15_8_Gap,2900,3440,1.279434919,18.62068966,Small
VFR40_15_9_Gap,2708,3246,1.206974983,19.86706056,Small
VFR40_20_10_Gap,3122,3692,1.486965895,18.25752723,Small
VFR40_20_1_Gap,3326,3862,1.495167971,16.115454,Small
VFR40_20_2_Gap,3226,3860,1.520999193,19.65282083,Small
VFR40_20_3_Gap,3233,3875,1.502506971,19.85771729,Small
VFR40_20_4_Gap,3233,3855,1.549973011,19.23909681,Small
VFR40_20_5_Gap,3055,3682,1.619898081,20.52373159,Small
VFR40_20_6_Gap,3192,3710,1.570800066,16.22807018,Small
VFR40_20_7_Gap,3244,3833,1.595602751,18.15659679,Small
VFR40_20_8_Gap,3266,3811,1.639615059,16.687079,Small
VFR40_20_9_Gap,3335,3903,1.555798054,17.03148426,Small
VFR40_5_10_Gap,2348,2475,1.325525999,5.408858603,Small
VFR40_5_1_Gap,2396,2495,1.349476099,4.131886477,Small
VFR40_5_2_Gap,2442,2569,1.389374971,5.200655201,Small
VFR40_5_3_Gap,2174,2324,1.418536901,6.899724011,Small
VFR40_5_4_Gap,2149,2295,1.349979877,6.793857608,Small
VFR40_5_5_Gap,2247,2405,1.295055866,7.031597686,Small
VFR40_5_6_Gap,2154,2317,1.349696875,7.56731662,Small
VFR40_5_7_Gap,2207,2375,1.429477215,7.612143181,Small
VFR40_5_8_Gap,2414,2563,1.35431385,6.172328086,Small
VFR40_5_9_Gap,2305,2489,1.413651943,7.982646421,Small
VFR500_20_10_Gap,26072,29120,21.22540188,11.69070267,Large
VFR500_20_1_Gap,26411,30068,21.37342,13.84650335,Large
VFR500_20_2_Gap,26681,29912,21.28732681,12.10974101,Large
VFR500_20_3_Gap,26409,29708,20.92528105,12.4919535,Large
VFR500_20_4_Gap,26124,29581,21.66406584,13.23304241,Large
VFR500_20_5_Gap,26781,29925,22.13395786,11.73966618,Large
VFR500_20_6_Gap,26443,29702,21.27498627,12.32462277,Large
VFR500_20_7_Gap,26433,29887,21.50954533,13.06699958,Large
VFR500_20_8_Gap,26318,29779,21.41579294,13.15069534,Large
VFR500_20_9_Gap,26442,29963,21.28522396,13.31593677,Large
VFR500_40_10_Gap,28758,33064,40.45792913,14.97322484,Large
VFR500_40_1_Gap,28548,32827,41.07556796,14.98879081,Large
VFR500_40_2_Gap,28793,33025,41.16522503,14.69801688,Large
VFR500_40_3_Gap,28607,32815,40.81771493,14.70968644,Large
VFR500_40_4_Gap,28828,33001,41.19368792,14.47550992,Large
VFR500_40_5_Gap,28683,33221,40.73711205,15.82121814,Large
VFR500_40_6_Gap,28524,32844,40.23425889,15.14514093,Large
VFR500_40_7_Gap,28760,33044,41.26108122,14.89568846,Large
VFR500_40_8_Gap,28698,33146,41.52548385,15.49933793,Large
VFR500_40_9_Gap,28870,33135,42.39580011,14.77312089,Large
VFR500_60_10_Gap,31050,35603,59.63843012,14.66344605,Large
VFR500_60_1_Gap,30861,35329,59.23701572,14.4778199,Large
VFR500_60_2_Gap,30828,35548,60.24662137,15.31075646,Large
VFR500_60_3_Gap,31125,35805,62.02062416,15.03614458,Large
VFR500_60_4_Gap,30928,35430,59.99952006,14.55638903,Large
VFR500_60_5_Gap,30935,35536,59.97191477,14.87312106,Large
VFR500_60_6_Gap,31027,35667,60.8824141,14.95471686,Large
VFR500_60_7_Gap,30928,35707,59.94041181,15.45201759,Large
VFR500_60_8_Gap,30988,35752,60.14479709,15.37369304,Large
VFR500_60_9_Gap,30978,35555,59.25720501,14.77500161,Large
VFR50_10_10_Gap,3056,3587,1.065878153,17.37565445,Small
VFR50_10_1_Gap,2926,3435,1.098020792,17.39576213,Small
VFR50_10_2_Gap,3035,3456,2.03211689,13.87149918,Small
VFR50_10_3_Gap,3019,3540,1.080533028,17.25736999,Small
VFR50_10_4_Gap,3003,3580,1.059252977,19.21411921,Small
VFR50_10_5_Gap,3252,3633,2.019206762,11.71586716,Small
VFR50_10_6_Gap,3149,3533,1.0237391,12.19434741,Small
VFR50_10_7_Gap,2842,3374,1.027144909,18.71921182,Small
VFR50_10_8_Gap,3072,3622,1.073408127,17.90364583,Small
VFR50_10_9_Gap,3022,3496,1.031287193,15.68497684,Small
VFR50_15_10_Gap,3399,4043,1.415183783,18.94674904,Small
VFR50_15_1_Gap,3316,3956,1.410116911,19.30036188,Small
VFR50_15_2_Gap,3347,3992,1.52867794,19.27098895,Small
VFR50_15_3_Gap,3301,3981,1.434612036,20.59981824,Small
VFR50_15_4_Gap,3521,4114,1.456562042,16.84180631,Small
VFR50_15_5_Gap,3334,4030,1.462362289,20.87582484,Small
VFR50_15_6_Gap,3346,3947,1.481917143,17.96174537,Small
VFR50_15_7_Gap,3490,4179,1.483712196,19.74212034,Small
VFR50_15_8_Gap,3430,4126,1.456057072,20.29154519,Small
VFR50_15_9_Gap,3205,3833,1.522852182,19.59438378,Small
VFR50_20_10_Gap,3769,4522,1.907703161,19.97877421,Small
VFR50_20_1_Gap,3693,4425,1.913918972,19.82128351,Small
VFR50_20_2_Gap,3719,4316,2.449077129,16.05270234,Small
VFR50_20_3_Gap,3784,4432,1.924112082,17.12473573,Small
VFR50_20_4_Gap,3709,4381,1.953274727,18.11809113,Small
VFR50_20_5_Gap,3632,4400,1.936312914,21.14537445,Small
VFR50_20_6_Gap,3795,4494,1.939480066,18.41897233,Small
VFR50_20_7_Gap,3696,4459,1.988260984,20.64393939,Small
VFR50_20_8_Gap,3783,4408,1.87541604,16.52127941,Small
VFR50_20_9_Gap,3816,4609,1.910067081,20.78092243,Small
VFR50_5_10_Gap,2834,3065,1.061809063,8.151023289,Small
VFR50_5_1_Gap,3055,3204,1.090661764,4.877250409,Small
VFR50_5_2_Gap,2853,2981,1.044054031,4.486505433,Small
VFR50_5_3_Gap,2746,2924,1.103751898,6.482155863,Small
VFR50_5_4_Gap,2836,3036,1.100372791,7.052186178,Small
VFR50_5_5_Gap,2866,3040,1.104005098,6.071179344,Small
VFR50_5_6_Gap,2841,2945,1.152257204,3.660682858,Small
VFR50_5_7_Gap,2600,2768,1.094871044,6.461538462,Small
VFR50_5_8_Gap,2684,2906,1.114372969,8.27123696,Small
VFR50_5_9_Gap,2621,2816,1.074754,7.439908432,Small
VFR600_20_10_Gap,31130,34844,25.89117694,11.93061356,Large
VFR600_20_1_Gap,31433,35011,25.87886596,11.38294149,Large
VFR600_20_2_Gap,31418,35164,25.70294094,11.92310141,Large
VFR600_20_3_Gap,31429,35328,25.23753715,12.40573992,Large
VFR600_20_4_Gap,31547,34993,25.979316,10.92338416,Large
VFR600_20_5_Gap,31448,35233,25.17655087,12.03574154,Large
VFR600_20_6_Gap,31717,35271,26.98924327,11.20534729,Large
VFR600_20_7_Gap,31527,35088,26.82820702,11.29508041,Large
VFR600_20_8_Gap,31564,35172,25.86275792,11.43074389,Large
VFR600_20_9_Gap,31577,35424,25.83607197,12.18291795,Large
VFR600_40_10_Gap,33642,38833,48.31741619,15.43011712,Large
VFR600_40_1_Gap,33839,38572,49.03899193,13.98681994,Large
VFR600_40_2_Gap,33467,38542,50.0885179,15.16419159,Large
VFR600_40_3_Gap,33866,38632,50.48049998,14.07311168,Large
VFR600_40_4_Gap,33693,38642,48.84590912,14.68851097,Large
VFR600_40_5_Gap,33553,38383,48.32062006,14.39513605,Large
VFR600_40_6_Gap,33809,38629,47.98353386,14.2565589,Large
VFR600_40_7_Gap,33686,38462,48.91243291,14.17799679,Large
VFR600_40_8_Gap,33482,38112,48.7111733,13.82832567,Large
VFR600_40_9_Gap,33697,38691,49.45256901,14.82031041,Large
VFR600_60_10_Gap,36163,41497,73.35106683,14.74988248,Large
VFR600_60_1_Gap,36198,41365,73.51951003,14.2742693,Large
VFR600_60_2_Gap,36184,41252,74.02142429,14.00619058,Large
VFR600_60_3_Gap,36201,41484,73.30583191,14.59351952,Large
VFR600_60_4_Gap,36136,41452,73.17770815,14.71109143,Large
VFR600_60_5_Gap,36153,41535,73.58812881,14.88673139,Large
VFR600_60_6_Gap,36116,41297,73.27619886,14.34544246,Large
VFR600_60_7_Gap,36179,41595,73.64235687,14.97001023,Large
VFR600_60_8_Gap,36185,41268,72.92612219,14.04725715,Large
VFR600_60_9_Gap,36195,41155,73.60736585,13.70355021,Large
VFR60_10_10_Gap,3492,4103,1.237620354,17.49713631,Small
VFR60_10_1_Gap,3435,4061,1.263329029,18.22416303,Small
VFR60_10_2_Gap,3655,4087,1.23509717,11.81942544,Small
VFR60_10_3_Gap,3423,3995,1.233536005,16.71048788,Small
VFR60_10_4_Gap,3455,4053,1.230411768,17.30824891,Small
VFR60_10_5_Gap,3505,4185,1.227749825,19.40085592,Small
VFR60_10_6_Gap,3594,4227,1.252766848,17.61268781,Small
VFR60_10_7_Gap,3654,4281,1.214434147,17.1592775,Small
VFR60_10_8_Gap,3552,4071,1.23800993,14.61148649,Small
VFR60_10_9_Gap,3685,4060,1.230809212,10.17639077,Small
VFR60_15_10_Gap,3902,4679,1.803347111,19.9128652,Small
VFR60_15_1_Gap,3940,4638,1.827296972,17.71573604,Small
VFR60_15_2_Gap,3888,4555,1.759318829,17.15534979,Small
VFR60_15_3_Gap,3880,4715,1.824074984,21.52061856,Small
VFR60_15_4_Gap,3716,4496,1.844292164,20.99031216,Small
VFR60_15_5_Gap,3881,4612,1.803499937,18.83535171,Small
VFR60_15_6_Gap,3893,4680,1.846686363,20.2157719,Small
VFR60_15_7_Gap,3809,4597,1.844281912,20.68784458,Small
VFR60_15_8_Gap,3749,4533,1.818059921,20.91224326,Small
VFR60_15_9_Gap,3800,4420,1.797724247,16.31578947,Small
VFR60_20_10_Gap,4202,5161,2.329545975,22.82246549,Small
VFR60_20_1_Gap,4163,4978,2.353025913,19.57722796,Small
VFR60_20_2_Gap,4290,5101,2.36328721,18.9044289,Small
VFR60_20_3_Gap,4365,5236,2.366413116,19.95418099,Small
VFR60_20_4_Gap,4193,5106,2.338889122,21.77438588,Small
VFR60_20_5_Gap,4196,5049,2.375812054,20.32888465,Small
VFR60_20_6_Gap,4202,4994,2.335430861,18.84816754,Small
VFR60_20_7_Gap,4263,5091,2.338425159,19.42294159,Small
VFR60_20_8_Gap,4180,5109,2.39031601,22.22488038,Small
VFR60_20_9_Gap,4221,5089,2.442882061,20.56384743,Small
VFR60_5_10_Gap,3663,3709,1.24917388,1.255801256,Small
VFR60_5_1_Gap,3350,3553,1.277118206,6.059701493,Small
VFR60_5_2_Gap,3054,3324,1.326332092,8.84086444,Small
VFR60_5_3_Gap,3214,3415,1.335062981,6.253889235,Small
VFR60_5_4_Gap,3266,3555,1.288317919,8.848744642,Small
VFR60_5_5_Gap,3197,3436,1.305171967,7.475758524,Small
VFR60_5_6_Gap,3107,3316,1.332597017,6.726746057,Small
VFR60_5_7_Gap,3315,3539,1.294468164,6.757164404,Small
VFR60_5_8_Gap,3438,3624,1.289119959,5.410122164,Small
VFR60_5_9_Gap,3121,3304,1.342817783,5.863505287,Small
VFR700_20_10_Gap,36417,40330,29.85540891,10.74498174,Large
VFR700_20_1_Gap,36394,40363,30.66767311,10.90564379,Large
VFR700_20_2_Gap,36337,40505,30.83336997,11.47040207,Large
VFR700_20_3_Gap,36568,40445,30.21256995,10.60216583,Large
VFR700_20_4_Gap,36452,40471,30.46339202,11.02545814,Large
VFR700_20_5_Gap,36584,40797,29.84020925,11.51596326,Large
VFR700_20_6_Gap,36671,40851,31.06926894,11.39865289,Large
VFR700_20_7_Gap,36624,40455,30.50984287,10.46035387,Large
VFR700_20_8_Gap,36522,40834,30.17448807,11.80658233,Large
VFR700_20_9_Gap,36329,40292,30.53471208,10.90864048,Large
VFR700_40_10_Gap,38850,44380,58.20500708,14.23423423,Large
VFR700_40_1_Gap,38964,44273,58.67776823,13.6253978,Large
VFR700_40_2_Gap,38775,44199,60.62065291,13.98839458,Large
VFR700_40_3_Gap,38621,43907,58.80662298,13.6868543,Large
VFR700_40_4_Gap,38785,44118,58.55685401,13.75016114,Large
VFR700_40_5_Gap,38671,44207,60.32494688,14.31563704,Large
VFR700_40_6_Gap,38710,44203,58.51778698,14.19013175,Large
VFR700_40_7_Gap,38585,43966,59.1993711,13.94583387,Large
VFR700_40_8_Gap,39059,44300,58.74749899,13.41816227,Large
VFR700_40_9_Gap,38814,44132,58.32378602,13.70124182,Large
VFR700_60_10_Gap,41377,47073,86.82433176,13.76610194,Large
VFR700_60_1_Gap,41436,47385,86.92295909,14.3570808,Large
VFR700_60_2_Gap,41375,47081,85.97841716,13.79093656,Large
VFR700_60_3_Gap,41317,47032,86.03457189,13.83207881,Large
VFR700_60_4_Gap,41401,47063,87.15873122,13.67599816,Large
VFR700_60_5_Gap,41262,47084,86.80229616,14.10983471,Large
VFR700_60_6_Gap,41340,47082,86.43624616,13.88969521,Large
VFR700_60_7_Gap,40876,46850,86.36311197,14.61493297,Large
VFR700_60_8_Gap,41474,47391,86.33522201,14.26676954,Large
VFR700_60_9_Gap,41291,47091,87.45185328,14.04664455,Large
VFR800_20_10_Gap,41574,45848,35.6822629,10.28046375,Large
VFR800_20_1_Gap,41558,45749,34.91522598,10.0847009,Large
VFR800_20_2_Gap,41407,45834,34.24253416,10.69142899,Large
VFR800_20_3_Gap,41425,45922,34.98126006,10.85576343,Large
VFR800_20_4_Gap,41426,45902,34.94605899,10.80480857,Large
VFR800_20_5_Gap,41710,46044,33.81662893,10.39079357,Large
VFR800_20_6_Gap,42010,46123,35.51359701,9.790526065,Large
VFR800_20_7_Gap,41425,45546,36.48802304,9.948098974,Large
VFR800_20_8_Gap,41492,45398,33.82421613,9.413862913,Large
VFR800_20_9_Gap,41796,45594,35.02139711,9.086993971,Large
VFR800_40_10_Gap,43861,49765,67.96033812,13.46070541,Large
VFR800_40_1_Gap,43671,49512,68.00321794,13.37500859,Large
VFR800_40_2_Gap,43746,49535,71.40525198,13.23320989,Large
VFR800_40_3_Gap,43749,49733,69.15650487,13.67802693,Large
VFR800_40_4_Gap,43892,49522,68.30087686,12.82693885,Large
VFR800_40_5_Gap,43905,49613,68.69545984,13.00079718,Large
VFR800_40_6_Gap,43811,49752,68.43556499,13.56052133,Large
VFR800_40_7_Gap,43766,49686,69.1978929,13.52648174,Large
VFR800_40_8_Gap,43839,49637,68.78626513,13.22566664,Large
VFR800_40_9_Gap,43879,49744,68.89411092,13.36630279,Large
VFR800_60_10_Gap,46244,52653,101.6120284,13.85909523,Large
VFR800_60_1_Gap,46470,52850,97.89955306,13.72928771,Large
VFR800_60_2_Gap,46493,53068,96.9858222,14.14191384,Large
VFR800_60_3_Gap,46389,52693,98.18951511,13.58942853,Large
VFR800_60_4_Gap,46457,52919,97.34786272,13.90963687,Large
VFR800_60_5_Gap,46401,52799,98.86916995,13.78849594,Large
VFR800_60_6_Gap,46421,52947,98.66974902,14.05829258,Large
VFR800_60_7_Gap,46319,52759,98.73620296,13.90358168,Large
VFR800_60_8_Gap,46474,52907,104.781734,13.8421483,Large
VFR800_60_9_Gap,46538,53050,101.711664,13.99286604,Large
